latin_name;english_name;german_name
Anthus trivialis;Tree Pipit;Baumpieper
Chloris chloris;European Greenfinch;Grünfink
Coccothraustes coccothraustes;Hawfinch;Kernbeißer
Crex crex;Corn Crake;Wachtelkönig
Cyanistes caeruleus;Eurasian Blue Tit;Blaumeise
Dendrocopos major;Great Spotted Woodpecker;Buntspecht
Erithacus rubecula;European Robin;Rotkehlchen
Ficedula hypoleuca;European Pied Flycatcher;Trauerschnäpper
Fringilla coelebs;Common Chaffinch;Buchfink
Lophophanes cristatus;European Crested Tit;Haubenmeise
Muscicapa striata;Spotted Flycatcher;Grauschnäpper
Parus major;Great Tit;Kohlmeise
Periparus ater;Coal Tit;Tannenmeise
Phoenicurus phoenicurus;Common Redstart;Gartenrotschwanz
Phylloscopus sibilatrix;Wood Warbler;Waldlaubsänger
Phylloscopus trochilus;Willow Warbler;Fitis
Poecile palustris;Marsh Tit;Sumpfmeise
Scolopax rusticola;Eurasian Woodcock;Waldschnepfe
Sitta europaea;Eurasian Nuthatch;Kleiber
Spinus spinus;Eurasian Siskin;Erlenzeisig
Sylvia atricapilla;Eurasian Blackcap;Mönchsgrasmücke
Troglodytes troglodytes;Eurasian Wren;Zaunkönig
Turdus merula;Common Blackbird;Amsel
Turdus philomelos;Song Thrush;Singdrossel
Turdus viscivorus;Mistle Thrush;Misteldrossel
