duration;start_time;end_time;labels;species_count;filepath;channels;collection_id
21.211083;0.000000;21.211083;Porzana porzana;1;derivation/1/5/f/d/f3c21a962f8640e692ad319a902abd24.wav;1;87
21.729438;0.000000;21.729438;Porzana porzana;1;derivation/1/a/f/c/fe26cb18fe064ac3bf4694b9e69d26bd.wav;1;87
20.862969;0.000000;20.862969;Porzana porzana;1;derivation/1/a/8/8/65fcf0afbff647719e294e030f298c7e.wav;1;87
20.681667;0.000000;20.681667;Porzana porzana;1;derivation/1/e/e/7/a6afda9f77334ce1be896360ba427580.wav;1;87
38.060408;0.000000;38.060408;Porzana porzana;1;derivation/1/f/1/6/d25d2b7d126b4f8caf2e88632579b1b0.wav;2;1
31.373061;0.000000;31.373061;Porzana porzana;1;derivation/1/f/c/7/fc6c465a282a4e0991a6724d23bccf36.wav;2;1
18.703673;0.000000;18.703673;Porzana porzana;1;derivation/1/5/c/2/83839d4b89fe4a3ca7ac0068d8a35613.wav;1;1
14.760000;0.000000;14.760000;Porzana porzana;1;derivation/1/5/3/a/3e07e1cbaed143ac8f31ad50a1e6009f.wav;1;1
69.002750;0.000000;69.002750;Porzana porzana;1;derivation/1/5/5/d/000073f067784e639e937155d5b5eb22.wav;1;1
12.408163;0.000000;12.408163;Porzana porzana;1;derivation/1/7/4/3/650439eca8f046a6a0853147de32d0af.wav;2;1
8.045000;0.000000;8.045000;Porzana porzana;1;derivation/1/7/d/c/bdb255f4d1ab4c1dbae62865ad2ca490.wav;1;84
3.336000;0.000000;3.336000;Porzana porzana;1;derivation/1/f/7/a/9ad71057ceec48a58191016f5512b0af.wav;1;84
159.529796;0.000000;159.529796;Porzana porzana;1;derivation/1/1/5/8/857d89bbb4184e5a81ab7676f3882454.wav;1;1
5.041633;0.000000;5.041633;Porzana porzana;1;derivation/1/d/a/7/e5f685794e53489c8ad952540fc5d45a.wav;2;1
17.863646;0.000000;17.863646;Porzana porzana;1;derivation/1/6/c/8/d8dde18a181c41bab70ddc24ad4ca284.wav;1;87
22.963052;0.000000;22.963052;Porzana porzana;1;derivation/1/d/9/c/8ca4125a6afe45ceacd8fd4062e1a582.wav;1;87
8.221125;0.000000;8.221125;Porzana porzana;1;derivation/1/9/6/7/cd34dbe01771453d9066d704d473a0c7.wav;1;1
19.138917;0.000000;19.138917;Porzana porzana;1;derivation/1/6/5/7/36ca991de9ad4f58aa867dc10671650b.wav;1;87
73.482449;0.000000;73.482449;Porzana porzana;1;derivation/1/f/3/d/71cc10290b304b4f86e65d6b55aea804.wav;2;1
3.450000;242.050000;245.500000;Porzana porzana;1;derivation/1/3/9/8/dbeae337d018439c9aa296535a3e9dba.wav;2;4
17.099698;0.000000;17.099698;Porzana porzana;1;derivation/1/c/f/d/48e7ed3b36a14583bf0d3f975b6446f2.wav;1;87
19.671479;0.000000;19.671479;Porzana porzana;1;derivation/1/d/3/1/1682ddce4114488d881bf55ed9aa1955.wav;1;87
58.096327;0.000000;58.096327;Porzana porzana;1;derivation/1/a/9/e/32a3cd4340ee42daad1649087e97a72d.wav;2;1
19.945042;0.000000;19.945042;Porzana porzana;1;derivation/1/7/b/f/de9ca262fab84c8d9954939bfcb573a3.wav;1;87
1273.909063;0.000000;1273.909063;Porzana porzana;1;derivation/1/5/b/1/984db8abc5fd4c31842da5675f35fc2d.wav;2;1
7.392653;0.000000;7.392653;Porzana porzana;1;derivation/1/6/6/4/35e4effd89ad4f698230dd3e1b737d10.wav;2;1
379.243875;0.000000;379.243875;Porzana porzana;1;derivation/1/2/1/1/111a2e758e1542bf8a7407596aaed2e0.wav;2;1
27.941333;0.000000;27.941333;Porzana porzana;1;derivation/1/8/d/1/ab449a5c5095467080390ec0a3ac6eee.wav;2;1
109.087347;0.000000;109.087347;Porzana porzana;1;derivation/1/7/2/c/3d877f2da162439181ab277fdf047312.wav;2;1
11.521667;0.000000;11.521667;Porzana porzana;1;derivation/1/0/0/2/1fb65e44fb3f4271a0f7fe2fc454aef8.wav;2;1
60.160000;0.000000;60.160000;Porzana porzana;1;derivation/1/1/9/0/524fb67a70ed4ca48295a14eb03541eb.wav;2;1
